scale,model,term,beta,se,hr,hr.low,hr.high,p.value
prefecture,M0,(Intercept),-5.25007052484599,0.122225109889675,0.00524714833180406,0.00412936457313634,0.00666750661713615,0
prefecture,M1,(Intercept),-5.2375073894695,0.120856661581368,0.00531348479109521,0.00419280026962781,0.00673371465598248,0
prefecture,M1,effort_z,0.130893001959908,0.0617790373732591,1.1398458135189,1.00985432594013,1.28657019653505,0.0341134254798586
prefecture,M2,(Intercept),-5.26378108336048,0.122611991075662,0.00517569792929252,0.00407004759346984,0.00658170413001128,0
prefecture,M2,climate_z,0.127464831167251,0.0610043090394352,1.13594491768184,1.00792764412422,1.28022171385961,0.036668151846355
prefecture,M3,(Intercept),-5.24906757051327,0.121017816121626,0.00525241362193929,0.00414330089951311,0.00665842272261118,0
prefecture,M3,climate_z,0.128797484591736,0.0607716064137359,1.13745974771394,1.00973218873197,1.28134439221377,0.0340592585679774
prefecture,M3,effort_z,0.132421243684038,0.0616584706745252,1.14158910519644,1.01163783995804,1.28823343060918,0.0317410168746637
prefecture,M4,(Intercept),-5.23879102737763,0.121036979534869,0.00530666857630485,0.00418594201464181,0.00672745376793068,0
prefecture,M4,climate_z,0.121475316589134,0.0599190981099545,1.12916149402408,1.00404203135596,1.26987281385502,0.042629474667325
prefecture,M4,effort_z,0.113935445285075,0.0627533709884636,1.12067977738544,0.99097976676119,1.2673550011474,0.0694307141809208
prefecture,M4,climate_z:effort_z,0.150966811415846,0.0540713179945825,1.16295806050987,1.04601429107653,1.29297607312128,0.0052384279554315
